D,D_lazy,churny_fraction,num_seeds,delivery_rate_mean,delivery_rate_std,p99_latency_sec_mean,p99_latency_sec_std,bytes_per_delivery_mean,bytes_per_delivery_std,p50_latency_sec_mean,p50_latency_sec_std,p90_latency_sec_mean,p90_latency_sec_std,avg_latency_sec_mean,avg_latency_sec_std,payload_bytes_MB_mean,payload_bytes_MB_std,control_bytes_MB_mean,control_bytes_MB_std,meshmnt_bytes_MB_mean,meshmnt_bytes_MB_std,gossip_bytes_MB_mean,gossip_bytes_MB_std,total_bytes_MB_mean,total_bytes_MB_std,payload_pct_mean,payload_pct_std,messages_published_mean,messages_published_std,total_deliveries_mean,total_deliveries_std,drops_peer_mean,drops_peer_std,drops_offline_mean,drops_offline_std,online_rate_mean,online_rate_std
8.0,5.0,0.2,1.0,0.8518215340786146,0.0,0.0,466.9888458251953,12.9,0.0,0.0,9168.927806854248,20747.747403657144,0.0,0.0,94.78612196349854,0.5,0.0,0.0,544.0,0.6000000000000001,0.0,0.0,536053.0,0.922979071099313,0.0,0.0,0.0,8690.87109375,0.0,0.0,75552.0,478.0567131042481,0.0,0.0,0.976,11.067867279052734,0.0
8.0,5.0,0.3,1.0,0.8121315606670033,0.0,0.0,1569.2190551757812,22.1,0.0,0.0,51068.25610733032,120762.44855735057,0.0,0.0,96.89113752742786,0.5,0.0,0.0,546.0,0.6000000000000001,0.0,0.0,541709.0,1.2509736777494926,0.0,0.0,111270.0,49480.6142578125,0.0,0.0,723089.0,1587.6418495178225,0.0,0.0,0.957,18.422794342041016,0.0
8.0,5.0,0.4,1.0,0.774762776971038,0.0,0.0,3401.3220825195312,18.2,0.0,0.0,156920.7453994751,374566.1005010695,0.0,0.0,97.81777106495612,0.5,0.0,0.0,567.0,0.7000000000000001,0.0,0.0,562406.0,1.244277443697258,0.0,0.0,4572633.0,153496.37548828125,0.0,0.0,2478937.0,3424.369911193848,0.0,0.0,0.944,23.047828674316406,0.0
2.0,1.0,0.0,3.0,0.9989044943820224,0.0,2.1,0.0,3026.9899121696994,4.547473508864641e-13,1.4,0.0,1.8,0.0,1.3873938083737272,2.220446049250313e-16,1445.3818359375,0.0,94.46060180664062,0.0,0.0,0.0,94.46060180664062,0.0,1539.8424377441406,0.0,93.86556705470302,0.0,534.0,0.0,532881.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,1.0,0.1,3.0,0.9216823425232508,0.0,3.3000000000000003,0.0,2772.404848073867,0.0,2.1,0.0,2.8000000000000003,0.0,2.060944242513595,0.0,1221.45849609375,0.0,89.59459686279297,0.0,0.9790420532226562,0.0,88.61555480957031,0.0,1311.053092956543,0.0,93.16621139569952,0.0,538.0,0.0,529059.0,0.0,0.0,0.0,6061.0,0.0,0.98,0.0
2.0,1.0,0.2,3.0,0.8441766003811106,0.0,3.2000000000000006,4.440892098500626e-16,3172.68427779947,0.0,1.8,0.0,2.4000000000000004,0.0,1.830774440877257,0.0,1276.8779296875,0.0,87.08168029785156,0.0,2.2441864013671875,0.0,84.83749389648438,0.0,1363.9596099853516,0.0,93.61552353454316,0.0,534.0,0.0,516747.0,0.0,0.0,0.0,8381.0,0.0,0.969,0.0
2.0,1.0,0.3,3.0,0.7375902427747695,1.1102230246251563e-16,3.3000000000000003,0.0,3862.108028828869,0.0,1.7000000000000002,0.0,2.2,0.0,1.702127980044562,0.0,1472.91064453125,0.0,86.4679183959961,0.0,4.156684875488281,0.0,82.31123352050781,0.0,1559.378562927246,0.0,94.45497581846456,1.4210854715202004e-14,574.0,0.0,544413.0,0.0,0.0,0.0,14882.0,0.0,0.961,0.0
2.0,1.0,0.4,3.0,0.6621843058271776,0.0,4.3,0.0,4475.27218246546,0.0,1.7000000000000002,0.0,2.3000000000000003,0.0,1.8208379878732248,2.220446049250313e-16,1513.91455078125,0.0,85.69819259643555,0.0,5.473995208740234,0.0,80.22419738769531,0.0,1599.6127433776855,0.0,94.6425662741672,1.4210854715202004e-14,566.0,0.0,527263.0,0.0,0.0,0.0,21131.0,0.0,0.9330000000000002,1.1102230246251563e-16
2.0,5.0,0.0,3.0,0.9981396648044693,0.0,2.1,0.0,3731.423695105047,0.0,1.4,0.0,1.8,0.0,1.3981795228063885,0.0,1460.50634765625,0.0,446.886947631836,0.0,0.0,0.0,446.886947631836,0.0,1907.393295288086,0.0,76.57080221809525,0.0,537.0,0.0,535464.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,5.0,0.1,3.0,0.9207081362048246,0.0,3.4000000000000004,0.0,4287.610954962936,0.0,2.1,0.0,2.7000000000000006,4.440892098500626e-16,2.052854751827626,0.0,1559.44921875,0.0,432.1094818115234,0.0,0.9792327880859376,0.0,431.1302490234375,0.0,1991.5587005615237,0.0,78.30295026254113,0.0,529.0,0.0,519800.0,0.0,0.0,0.0,20016.0,0.0,0.986,1.1102230246251563e-16
2.0,5.0,0.2,3.0,0.8443219827607792,0.0,3.3000000000000003,0.0,5010.099449995956,0.0,1.8,0.0,2.4000000000000004,0.0,1.87031764784806,0.0,1811.0478515625,0.0,415.8157043457031,0.0,2.2327423095703125,0.0,413.5829620361328,0.0,2226.863555908203,0.0,81.32729312298989,0.0,552.0,0.0,536632.0,0.0,0.0,0.0,30371.0,0.0,0.965,0.0
2.0,5.0,0.3,3.0,0.74436374145328,0.0,92.3,0.0,11090.354512002958,0.0,1.7000000000000002,0.0,2.3000000000000003,0.0,4.309392956899635,0.0,3675.544921875,0.0,591.5274848937988,0.0,4.204654693603516,0.0,587.3228302001953,0.0,4267.072406768799,0.0,86.13739284209316,0.0,542.0,0.0,525564.0,0.0,0.0,0.0,74291.0,0.0,0.958,1.1102230246251563e-16
2.0,5.0,0.4,3.0,0.7195508147328532,1.1102230246251563e-16,165.8,0.0,43133.746316263794,0.0,1.7000000000000002,0.0,2.5,0.0,7.371726376255531,0.0,14608.39453125,0.0,1730.3173141479492,0.0,5.535316467285156,0.0,1724.781997680664,0.0,16338.71184539795,0.0,89.40970787341892,0.0,552.0,0.0,546283.0,0.0,2800.0,0.0,289583.0,0.0,0.947,0.0
2.0,9.0,0.0,3.0,1.0,0.0,2.1,0.0,4321.774046017699,0.0,1.4,0.0,1.8,0.0,1.395164899412687,0.0,1533.345703125,0.0,795.3384704589844,0.0,0.0,0.0,795.3384704589844,0.0,2328.6841735839844,0.0,65.8460138355769,0.0,565.0,0.0,564435.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
