D,D_lazy,churny_fraction,num_seeds,delivery_rate_mean,delivery_rate_std,p99_latency_sec_mean,p99_latency_sec_std,bytes_per_delivery_mean,bytes_per_delivery_std,p50_latency_sec_mean,p50_latency_sec_std,p90_latency_sec_mean,p90_latency_sec_std,avg_latency_sec_mean,avg_latency_sec_std,payload_bytes_MB_mean,payload_bytes_MB_std,control_bytes_MB_mean,control_bytes_MB_std,meshmnt_bytes_MB_mean,meshmnt_bytes_MB_std,gossip_bytes_MB_mean,gossip_bytes_MB_std,total_bytes_MB_mean,total_bytes_MB_std,payload_pct_mean,payload_pct_std,messages_published_mean,messages_published_std,total_deliveries_mean,total_deliveries_std,drops_peer_mean,drops_peer_std,drops_offline_mean,drops_offline_std,online_rate_mean,online_rate_std
2,1,0.1,3,0.9843698884758364,0.0,3.3000000000000003,0.0,2595.850020109858,0.0,2.1,0.0,2.8000000000000003,0.0,2.060944242513595,0.0,1221.45849609375,0.0,89.59459686279297,0.0,0.9790420532226562,0.0,88.61555480957031,0.0,1311.053092956543,0.0,93.16621139569953,0.0,538.0,0.0,529059.0,0.0,0.0,0.0,6061.0,0.0,0.98,0.0
2,1,0,3,0.9989044943820224,0.0,2.1,0.0,3026.9899121696994,4.547473508864641e-13,1.4000000000000001,0.0,1.8,0.0,1.3873938083737272,2.220446049250313e-16,1445.3818359375,0.0,94.46060180664062,0.0,0.0,0.0,94.46060180664062,0.0,1539.8424377441406,0.0,93.86556705470302,0.0,534.0,0.0,532881.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1,0.2,3,0.9686704119850186,1.1102230246251565e-16,3.2000000000000006,4.440892098500626e-16,2764.9299437431127,0.0,1.8,0.0,2.4000000000000004,0.0,1.830774440877257,0.0,1276.8779296875,0.0,87.08168029785156,0.0,2.2441864013671875,0.0,84.83749389648438,0.0,1363.9596099853516,0.0,93.61552353454317,0.0,534.0,0.0,516747.0,0.0,0.0,0.0,8381.0,0.0,0.969,0.0
2,1,0.3,3,0.9494163763066202,1.1102230246251565e-16,3.3000000000000003,0.0,3000.4255979741815,4.547473508864641e-13,1.7000000000000002,0.0,2.2,0.0,1.702127980044562,0.0,1472.91064453125,0.0,86.4679183959961,0.0,4.156684875488281,0.0,82.31123352050781,0.0,1559.378562927246,0.0,94.45497581846455,1.4210854715202004e-14,574.0,0.0,544413.0,0.0,0.0,0.0,14882.0,0.0,0.961,0.0
2,1,0.4,3,0.9325282685512367,0.0,4.3,0.0,3177.8714956679564,4.547473508864641e-13,1.7000000000000002,0.0,2.3000000000000003,0.0,1.8208379878732248,2.220446049250313e-16,1513.91455078125,0.0,85.69819259643555,0.0,5.473995208740234,0.0,80.22419738769531,0.0,1599.6127433776855,0.0,94.64256627416721,1.4210854715202004e-14,566.0,0.0,527263.0,0.0,0.0,0.0,21131.0,0.0,0.9330000000000002,1.1102230246251565e-16
2,3,0,3,1.0,0.0,2.1,0.0,3339.8304169611306,0.0,1.4000000000000001,0.0,1.8,0.0,1.3850456463530667,0.0,1529.912109375,0.0,272.8604278564453,0.0,0.0,0.0,272.8604278564453,0.0,1802.7725372314453,0.0,84.86440068165878,0.0,566.0,0.0,565434.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,3,0.1,3,0.9829193548387097,1.1102230246251565e-16,3.3000000000000003,0.0,3309.683799813663,0.0,2.1,0.0,2.7000000000000006,4.440892098500626e-16,2.045365978299554,0.0,1471.63037109375,0.0,259.5354804992676,0.0,0.9865760803222656,0.0,258.5489044189453,0.0,1731.1658515930176,0.0,85.00805221750169,0.0,558.0,0.0,547915.0,0.0,0.0,0.0,14710.0,0.0,0.98,0.0
2,3,0.2,3,0.9671761363636363,0.0,3.3000000000000003,0.0,3605.848485026505,0.0,1.8,0.0,2.4000000000000004,0.0,1.8280033636967736,0.0,1505.97802734375,0.0,250.11312866210938,0.0,2.2594451904296875,0.0,247.8536834716797,0.0,1756.0911560058594,0.0,85.75739489338474,0.0,528.0,0.0,510153.0,0.0,0.0,0.0,19479.0,0.0,0.977,0.0
2,3,0.3,3,0.9520928571428571,0.0,4.1000000000000005,0.0,4103.0975670140215,0.0,1.7000000000000002,0.0,2.3000000000000003,0.0,1.8920764196320954,0.0,1837.63916015625,0.0,248.67288208007812,0.0,4.20684814453125,0.0,244.46603393554688,0.0,2086.312042236328,0.0,88.08074357786266,0.0,560.0,0.0,532638.0,0.0,0.0,0.0,32299.0,0.0,0.953,0.0
2,3,0.4,3,0.956863157894737,1.1102230246251565e-16,92.8569999999949,1.4210854715202004e-14,6233.631141229016,0.0,1.7000000000000002,0.0,2.3000000000000003,0.0,4.191832922281923,0.0,2929.16748046875,0.0,313.2271842956543,0.0,5.516719818115234,0.0,307.71046447753906,0.0,3242.3946647644043,0.0,90.33963423084975,0.0,570.0,0.0,544944.0,0.0,0.0,0.0,54777.0,0.0,0.945,0.0
2,5,0,3,0.9981396648044693,0.0,2.1,0.0,3731.4236951050466,0.0,1.4000000000000001,0.0,1.8,0.0,1.3981795228063885,0.0,1460.50634765625,0.0,446.88694763183594,0.0,0.0,0.0,446.88694763183594,0.0,1907.393295288086,0.0,76.57080221809525,0.0,537.0,0.0,535464.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,5,0.1,3,0.9835916824196597,1.1102230246251565e-16,3.4000000000000004,0.0,4013.492958179582,0.0,2.1,0.0,2.7000000000000006,4.440892098500626e-16,2.052854751827626,0.0,1559.44921875,0.0,432.10948181152344,0.0,0.9792327880859375,0.0,431.1302490234375,0.0,1991.5587005615234,0.0,78.30295026254113,0.0,529.0,0.0,519800.0,0.0,0.0,0.0,20016.0,0.0,0.9860000000000001,1.1102230246251565e-16
2,5,0.2,3,0.9731195652173913,0.0,3.3000000000000003,0.0,4346.985974436017,0.0,1.8,0.0,2.4000000000000004,0.0,1.8703176478480599,0.0,1811.0478515625,0.0,415.8157043457031,0.0,2.2327423095703125,0.0,413.5829620361328,0.0,2226.863555908203,0.0,81.32729312298989,0.0,552.0,0.0,536632.0,0.0,0.0,0.0,30371.0,0.0,0.965,0.0
2,5,0.3,3,0.970522140221402,1.1102230246251565e-16,92.30000000000001,0.0,8505.996346167372,0.0,1.7000000000000002,0.0,2.3000000000000003,0.0,4.309392956899635,0.0,3675.544921875,0.0,591.5274848937988,0.0,4.204654693603516,0.0,587.3228302001953,0.0,4267.072406768799,0.0,86.13739284209316,0.0,542.0,0.0,525564.0,0.0,0.0,0.0,74291.0,0.0,0.9579999999999999,1.1102230246251565e-16
